"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","B0A1"
"VT","(B0) TOMA"
"HT","Header A"
"BT","b1.All Respondents"
"CH",,"National","Age",,,,"City tier",,,,"Income",,,,"REGION",,,,"University Student",,"City",,,,"Province",,,,,,,,,,,,,"North+4 total","North+4 China1+1","China1+/1","PURCHASE FORM  USAG",,,,,
"CL",,"Total","18-24 (a)","25-34 (b)","35-44 (c)","45+ (d)","Top4 (a)","A city (b)","B city (c)","C city (d)","China1+ (a)","China1 (b)","China2 (c)","China3 (d)","East (a)","South (b)","West (c)","North (d)","Yes (a)","No (b)","Beijing (a)","Shanghai (b)","Guangzhou (c)","Chengdu (d)","广西  (a)","四川省 (b)","陕西省 (c)","福建省 (d)","重庆市 (e)","湖北省 (f)","广东省 (g)","河北省 (h)","辽宁省 (i)","山东省 (j)","江苏省 (k)","浙江省 (l)","河南省 (m)","(a)","(a)","(a)","洗衣液 (a)","洗衣粉 (b)","洗衣皂 (c)","洗衣凝珠 (d)","衣物柔顺剂 (e)","消毒液（如滴露、威露士） (f)"
"MK",," "," "," "," "," ",d," ",d," ",c,c," "," "," ",c," "," "," "," "," "," ",d," "," "," "," "," "," "," ",bcefhjm," ",cef,cef," ",cef," "," "," "," ",b," "," "," ",bc,abc
"RW","白猫 Baimao",46.0,5.0,6.0,19.0,16.0,8.0,6.0,21.0,11.0,3.0,9.0,15.0,19.0,9.0,15.0,8.0,14.0,3.0,2.0,0.0,5.0,2.0,1.0,5.0,3.0,1.0,3.0,0.0,1.0,5.0,5.0,3.0,6.0,3.0,3.0,3.0,14.0,5.0,12.0,31.0,38.0,17.0,2.0,9.0,10.0
"PV",,1.34699853587116,1.00401606425703,0.46801872074883,1.80436847103514,2.74914089347079,2.3121387283237,0.643776824034335,1.66931637519873,1.2514220705347,1.02389078498294,1.49006622516556,1.16189000774593,1.54849225753871,1.1378002528445,1.90839694656489,1.48148148148148,1.07858243451464,1.58730158730159,0.647249190938511,0.0,5.55555555555556,2.08333333333333,1.92307692307692,3.26797385620915,1.25523012552301,0.980392156862745,2.25563909774436,0.0,0.606060606060606,1.40845070422535,1.25944584382872,1.22950819672131,1.08892921960073,1.04166666666667,2.23880597014925,0.84985835694051,1.07858243451464,1.72413793103448,1.33779264214047,1.1047754811119,1.84555609519184,1.08765195137556,1.21951219512195,1.11111111111111,1.44717800289436
"MK",," "," "," ",b,ab,b," ",b," "," "," "," "," "," "," "," "," "," "," "," ",a," "," ",ef,e," ",e," "," ",e,e,e,e,e,e,e," "," "," "," ",ac," "," "," "," "
"RW","安利",5.0,0.0,0.0,2.0,3.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,5.0,1.0,1.0,0.0,2.0,1.0
"PV",,0.146412884333821,0.0,0.0,0.189933523266857,0.515463917525773,0.0,0.214592274678112,0.158982511923688,0.113765642775882,0.68259385665529,0.165562913907285,0.154918667699458,0.0,0.252844500632111,0.127226463104326,0.185185185185185,0.0770416024653313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.418410041841004,0.0,0.0,0.0,0.606060606060606,0.0,0.0,0.0,0.181488203266788,0.694444444444444,0.0,0.0,0.0770416024653313,0.344827586206897,0.334448160535117,0.178189593727726,0.0485672656629432,0.0639795265515035,0.0,0.246913580246914,0.144717800289436
"MK",," "," "," "," ",ab," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",d," "," "," "," "," "
"RW","传化",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PV",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"RW","洛娃",7.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,1.0,0.0,0.0,6.0,1.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,6.0,1.0,1.0,7.0,5.0,4.0,0.0,1.0,2.0
"PV",,0.20497803806735,0.401606425702811,0.078003120124805,0.0949667616334283,0.515463917525773,0.289017341040462,0.214592274678112,0.238473767885533,0.113765642775882,0.341296928327645,0.0,0.0,0.488997555012225,0.126422250316056,0.0,0.0,0.462249614791988,0.0,0.647249190938511,0.943396226415094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00755667506297,0.0,0.181488203266788,0.0,0.746268656716418,0.0,0.462249614791988,0.344827586206897,0.111482720178372,0.249465431218817,0.242836328314716,0.255918106206014,0.0,0.123456790123457,0.289435600578871
"MK",," "," "," "," "," "," "," "," "," "," "," "," ",bc," "," "," ",bc," "," "," "," "," "," "," "," "," "," "," "," "," ",abcdefgikm," "," "," "," "," "," "," "," ",d,d,d," "," "," "
"RW","绿伞",5.0,0.0,3.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,3.0,1.0,2.0,5.0,1.0,2.0,0.0,1.0,2.0
"PV",,0.146412884333821,0.0,0.234009360374415,0.0949667616334283,0.171821305841924,0.0,0.107296137339056,0.0794912559618442,0.341296928327645,0.341296928327645,0.165562913907285,0.0774593338497289,0.162999185004075,0.126422250316056,0.0,0.185185185185185,0.231124807395994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.418410041841004,0.0,0.0,0.0,0.0,0.0,0.0,0.409836065573771,0.362976406533575,0.0,0.746268656716418,0.0,0.231124807395994,0.344827586206897,0.222965440356745,0.178189593727726,0.0485672656629432,0.127959053103007,0.0,0.123456790123457,0.289435600578871
"MK",," "," ",a," "," "," "," "," ",a," "," "," "," "," "," "," ",b," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ",d," "," "," "," "," "
"RW","妈妈壹选",15.0,3.0,5.0,5.0,2.0,2.0,4.0,3.0,6.0,0.0,5.0,4.0,6.0,2.0,7.0,4.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,0.0,5.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,5.0,15.0,3.0,7.0,1.0,0.0,4.0
"PV",,0.439238653001464,0.602409638554217,0.390015600624025,0.474833808167141,0.343642611683849,0.578034682080925,0.429184549356223,0.238473767885533,0.68259385665529,0.0,0.827814569536424,0.309837335398916,0.488997555012225,0.252844500632111,0.89058524173028,0.740740740740741,0.154083204930663,0.0,0.970873786407767,0.0,0.0,2.08333333333333,0.0,0.65359477124183,0.836820083682008,0.0,1.50375939849624,0.952380952380952,0.0,1.40845070422535,0.0,0.819672131147541,0.0,0.347222222222222,0.0,0.28328611898017,0.154083204930663,0.344827586206897,0.557413600891862,0.534568781183179,0.14570179698883,0.447856685860525,0.609756097560976,0.0,0.578871201157742
"MK",," "," "," "," "," "," "," "," "," "," ",a,a,a," ",ad," "," "," ",a," "," "," "," "," "," "," "," "," "," ",cfhjl," "," "," "," "," "," "," "," "," ",be,e,e," "," ",e
"RW","爱护",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PV",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MK",," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
