"BE","QPS Tables 2.1"
"JH","Project Sheet1     "
"JF"," "
"TB","B0A1"
"VT","【TOMA】"
"HT","Total wave"
"BT","b1.All Respondents"
"CH",,"1st half","National",,,,,"1st half-North","North",,,,
"CL",,"(a)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","(a)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)"
"RW","好爸爸 Kispa",795.715463302658,350.568566167993,227.257242742595,217.889654392071,233.0,276.580745810024,257.394074165729,124.983888507173,75.4535326116473,56.956653046908,75.0,84.7792456129036
"PV",,17.6834532971986,23.3736531020951,15.1548966176248,14.5224331208462,17.6648976497346,18.4363197120049,18.421619067075,26.0826358740544,16.7296695137958,12.1952773188876,18.796992481203,18.8281038007591
"MK",," ",bcde," "," ",bc,bc," ",bcde,c," ",c,c
"RW","雕牌 Diaopai",1825.3543340905,517.485306361161,665.246381638404,642.622646090932,525.0,633.953333262472,567.20599445809,168.834892397781,190.009758817655,208.361343242654,161.0,203.713972325352
"PV",,40.5654654287533,34.5025858094789,44.3626791265709,42.8310578849419,39.8028809704321,42.2580621087274,40.5947681442762,35.2338135246428,42.12924643007,44.6133020015655,40.3508771929825,45.2415893639765
"MK",," "," ",ad,a,a,a," "," ",a,a," ",a
"RW","超能 Chaoneng",1741.3194532524,648.17054775598,557.739464469924,535.4094410265,460.0,558.463284793299,586.081954416344,237.205326530645,178.436233001868,170.440394883833,153.0,172.060803661645
"PV",,38.6979299098779,43.2158356347992,37.1934633264247,35.6852546362107,34.8749052312358,37.2260463602111,41.9457151115029,49.5019016705493,39.5631470665841,36.4938557790114,38.3458646616541,38.2119308559927
"MK",," ",bcde," "," "," "," "," ",bcde," "," "," "," "
"RW","奥妙 Omo",1032.1768694418,376.170329479326,326.417625399462,329.588914563011,260.0,346.912694416869,247.854999392464,84.5799472087911,86.8350788765662,76.4399733071069,65.0,79.4745424171312
"PV",,22.9384149322234,25.0806137146284,21.76751467808,21.9672337471375,19.7119029567854,23.1245068332254,17.7389102584321,17.6508187706692,19.2532028856273,16.3669496513567,16.2907268170426,17.6500147333209
"MK",," ",bcd," "," "," ",d," "," "," "," "," "," "
"RW","洁霸 Attack",117.79326892686,50.5926829172733,44.3774663423926,22.8231196671936,32.0,27.729701817468,31.5030086494269,10.3728951176831,15.0336416172174,6.09647191452648,6.0,5.08686818182044
"PV",,2.61775957092365,3.37319410276495,2.959359651005,1.52117010741356,2.42608036391205,1.84840649962148,2.25466117154216,2.16469858271978,3.33328138709398,1.30534646414755,1.50375939849624,1.12971142236157
"MK",," ",ce,ce," ",c," "," "," ",cde," "," "," "
"RW","威露士Walch",466.43209955268,171.546454500858,155.628377191227,139.257267860596,107.0,140.903684860105,134.544197682551,53.7697770427644,48.0114728108499,32.7629478289371,37.0,43.1584981112532
"PV",,10.3656779705145,11.4376122258376,10.3782477453234,9.28155292521709,8.11220621683093,9.39235800768579,9.62928911796682,11.2211064352908,10.6451751852388,7.01504061745119,9.27318295739348,9.5848067112296
"MK",," ",cde,d," "," "," "," ",c,c," "," "," "
"RW","白猫 Baimao",540.220313914629,151.183191078067,193.536725818119,195.500397018444,138.0,190.382756785448,215.934976745642,52.7610808826654,80.337840857484,82.836055005493,60.0,61.916857828817
"PV",,12.0054983620116,10.0799210315768,12.9062072393852,13.0301801098389,10.4624715693707,12.6905340480942,15.4544035163167,11.0106036659686,17.812625605155,17.7364470830586,15.0375939849624,13.7507360178772
"MK",," "," ",ad,ad," ",ad," "," ",a,a,a," "
"RW","其他（请填入）",41.4840396034919,0.0,18.2997090541864,23.1843305493056,17.0,20.3138037162742,19.4096780426858,0.0,9.86629962574114,9.54337841694469,6.0,6.12345983734731
"PV",,0.921913813089319,0.0,1.22033601878611,1.54524495801915,1.28885519332828,1.35407755439848,1.38914501538488,0.0,2.18757063254129,2.0433810648578,1.50375939849624,1.35992171909356
"MK",," "," ",a,a,a,a," "," ",a,a,a,a
"RW","以上均无",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PV",,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"MK",," "," "," "," "," "," "," "," "," "," "," "," "
"TE"
"TB","BS4AK1"
"VT","【Consideration Set】"
"HT","Total wave"
"BT","b37.M1"
"CH",,"1st half","National",,,,,"1st half-North","North",,,,
"CL",,"(a)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)","(a)","Aug (a)","Sep (b)","Nov (c)","Jan (d)","March (e)"
"RU","Unweighted row",3753.0,1137.0,1306.0,1310.0,1319.0,1416.0,1182.0,392.0,378.0,412.0,399.0,448.0
"RT","总体",4499.77416701021,1499.8449948612,1499.56313445451,1500.36603769448,1319.0,1500.19499623847,1397.23915269625,479.184270756548,451.016277096365,467.038604843333,399.0,450.280317710409
"PV",,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"RW","汰渍 Tide",2760.15667764216,905.131823576823,904.116959341713,950.907894723633,736.0,968.134357000404,852.709011235344,271.001995246731,260.293104263615,321.413911725,204.0,296.731851373163
